ToA 	 ToA_mid 	 ToA_start 	 ToA_end 	 ToA_lenInt 	 ToA_exp 	 nbr_events 	 count_rate 	 phShift 	 phShift_LL 	 phShift_UL 	 Hpower 	 redChi2
17	58140.17964643233	58140.176295996	58140.182997379	0.006701384	574.999767286	10000.0	17.391311386	0.0047423237077253155	0.04084070449666731	0.04084070449666731	267.07797411314675	1.2404492668095226
18	58140.4009193872	58140.182997987	58140.618840483	0.435842496	458.827803237	10000.0	21.794668783	0.011803919485845249	0.0471238898038469	0.0471238898038469	237.41253432838892	2.070097643170233
19	58140.62225092773	58140.618840665	58140.62566105	0.006820386	589.281343413	10000.0	16.969822839	-0.041310669538281886	0.034557519189487726	0.034557519189487726	335.5447805942879	1.2102246778408712
20	58140.85609305579	58140.625661684	58141.086524428	0.460862744	543.678186648	10000.0	18.393233802	0.00730183176047472	0.04084070449666731	0.04084070449666731	270.0461626896751	1.8344960246440785
21	58141.11437444165	58141.086524962	58141.142223921	0.055698959	566.616854724	10000.0	17.648610197	-0.014254387840102023	0.04084070449666731	0.04084070449666731	206.78138569791238	1.3773351723088019
22	58141.14562017949	58141.142224003	58141.149016356	0.006792353	584.859380499	10000.0	17.09812706	-0.018562084685657343	0.04084070449666731	0.04084070449666731	338.0766428352994	0.8146992647490089
23	58141.505360036	58141.149016642	58141.86170343	0.712686787	544.459350058	10000.0	18.366844098	-0.0006716392035590601	0.04084070449666731	0.04084070449666731	254.0565626996493	2.421924159064276
24	58142.085835217506	58141.861703431	58142.309966655	0.448263224	580.012014415	10000.0	17.241022171	0.009625340730743837	0.04084070449666731	0.04084070449666731	262.04040640688464	1.509905180548446
25	58142.34374547168	58142.309966657	58142.377523724	0.067557068	577.218556171	10000.0	17.324460368	0.04246819834488802	0.04084070449666731	0.04084070449666731	182.36226479873764	3.309273786487449
26	58142.409367067376	58142.377523761	58142.441210519	0.063686758	588.800730952	10000.0	16.983674568	0.004859503582883562	0.034557519189487726	0.034557519189487726	301.82656153132694	1.0821116708709915
27	58142.496547608695	58142.44121168	58142.551883498	0.110671818	587.528804387	10000.0	17.020442105	-0.04870250399691267	0.034557519189487726	0.034557519189487726	274.9792504170527	1.3249182782265885
28	58142.75216192198	58142.551887668	58142.95243496	0.400547292	571.124331281	10000.0	17.509322318	-0.013753110686559822	0.04084070449666731	0.04084070449666731	246.69383414390668	1.3929283095409575
29	58143.016736865	58142.952435433	58143.081038297	0.128602864	528.862723731	10000.0	18.908498465	0.025866779866622114	0.04084070449666731	0.04084070449666731	264.2844706979669	1.6202730635147011
