ToABunch_tstart 	 ToABunch_tend 	 ToABunch_exp 	 ToABunch_lenInt
58135.61511783941	58144.80466267266	23063.698996673338	9.189544833250693
58359.458441549454	58359.65687527822	1747.0684771891683	0.1984337287649396
58361.70797303809	58361.9717793454	3108.112284215167	0.26380630731000565
58364.34388111664	58364.5526501765	2714.0856520738453	0.20876905985642225
58366.335711270076	58366.41591082065	2726.0936895618215	0.08019955057534389
58559.04422410768	58559.05449012823	886.9841750711203	0.010266020544804633
58569.99982106602	58570.067493505216	1373.9766251295805	0.06767243919603061
58574.03051303139	58574.04348750529	1120.994545170106	0.012974473902431782
58585.307321869244	58585.31593290911	743.9938441151753	0.008611039862444159
58600.05571558571	58600.06939607304	1179.9941333709285	0.01368048733274918
58611.37874193708	58611.40249232083	1939.029117487371	0.023750383748847526
58624.00451952868	58624.01785316777	1140.0262350915	0.013333639086340554
58638.35001990506	58638.35911754198	601.0272833984345	0.009097636917431373
58651.999150046126	58652.02682503697	1278.052708064206	0.027674990844388958
58665.42502451482	58665.498118390184	1412.0448543224484	0.07309387536224676
58680.95825156065	58680.96953668391	975.0346492510289	0.011285123255220242
58694.67000638718	58694.74266074296	1428.0949910636991	0.07265435577573953
58722.36940489427	58722.37874564909	807.0412163855508	0.009340754819277208
58736.11783369738	58736.127625489156	844.0107666654512	0.009791791773750447
